"","year","month","neighbourhood","num_reviews","date"
"1","2015","01","Amandus - Atheneum",16,2015-01-01
"2","2015","01","Borgerhout Intra Muros Noord",5,2015-01-01
"3","2015","01","Borgerhout Intra Muros Zuid",2,2015-01-01
"4","2015","01","Centraal Station",2,2015-01-01
"5","2015","01","Deurne Dorp - Gallifort",4,2015-01-01
"6","2015","01","Deurne Zuid West",2,2015-01-01
"7","2015","01","Eilandje",4,2015-01-01
"8","2015","01","Groenenhoek",1,2015-01-01
"9","2015","01","Historisch Centrum",6,2015-01-01
"10","2015","01","Linkeroever",2,2015-01-01
"11","2015","01","Oud - Berchem",1,2015-01-01
"12","2015","01","Sint-Andries",14,2015-01-01
"13","2015","01","Stadspark",8,2015-01-01
"14","2015","01","Theaterbuurt-Meir",1,2015-01-01
"15","2015","01","Universiteitsbuurt",7,2015-01-01
"16","2015","01","Zuid",9,2015-01-01
"17","2015","01","Zurenborg",1,2015-01-01
"18","2015","02","Amandus - Atheneum",19,2015-02-01
"19","2015","02","Borgerhout Intra Muros Noord",10,2015-02-01
"20","2015","02","Borgerhout Intra Muros Zuid",5,2015-02-01
"21","2015","02","Centraal Station",2,2015-02-01
"22","2015","02","Deurne Dorp - Gallifort",4,2015-02-01
"23","2015","02","Deurne Zuid West",3,2015-02-01
"24","2015","02","Eilandje",7,2015-02-01
"25","2015","02","Haringrode",4,2015-02-01
"26","2015","02","Historisch Centrum",9,2015-02-01
"27","2015","02","Linkeroever",1,2015-02-01
"28","2015","02","Markgrave",1,2015-02-01
"29","2015","02","Oud - Berchem",3,2015-02-01
"30","2015","02","Sint-Andries",17,2015-02-01
"31","2015","02","Stadspark",4,2015-02-01
"32","2015","02","Stuivenberg",1,2015-02-01
"33","2015","02","Theaterbuurt-Meir",8,2015-02-01
"34","2015","02","Universiteitsbuurt",4,2015-02-01
"35","2015","02","Zuid",8,2015-02-01
"36","2015","03","Amandus - Atheneum",24,2015-03-01
"37","2015","03","Borgerhout Intra Muros Noord",15,2015-03-01
"38","2015","03","Borgerhout Intra Muros Zuid",6,2015-03-01
"39","2015","03","Deurne Dorp - Gallifort",2,2015-03-01
"40","2015","03","Deurne Noord",1,2015-03-01
"41","2015","03","Deurne Zuid West",3,2015-03-01
"42","2015","03","Eilandje",4,2015-03-01
"43","2015","03","Harmonie",2,2015-03-01
"44","2015","03","Historisch Centrum",13,2015-03-01
"45","2015","03","Linkeroever",1,2015-03-01
"46","2015","03","Oud - Berchem",4,2015-03-01
"47","2015","03","Sint-Andries",21,2015-03-01
"48","2015","03","Stadspark",10,2015-03-01
"49","2015","03","Stuivenberg",5,2015-03-01
"50","2015","03","Theaterbuurt-Meir",8,2015-03-01
"51","2015","03","Universiteitsbuurt",7,2015-03-01
"52","2015","03","Zuid",7,2015-03-01
"53","2015","03","Zurenborg",1,2015-03-01
"54","2015","04","Amandus - Atheneum",22,2015-04-01
"55","2015","04","Borgerhout Intra Muros Noord",24,2015-04-01
"56","2015","04","Borgerhout Intra Muros Zuid",8,2015-04-01
"57","2015","04","Brederode",2,2015-04-01
"58","2015","04","Deurne Dorp - Gallifort",4,2015-04-01
"59","2015","04","Deurne Noord",1,2015-04-01
"60","2015","04","Deurne Zuid Oost",2,2015-04-01
"61","2015","04","Deurne Zuid West",4,2015-04-01
"62","2015","04","Eilandje",9,2015-04-01
"63","2015","04","Haringrode",2,2015-04-01
"64","2015","04","Harmonie",2,2015-04-01
"65","2015","04","Historisch Centrum",31,2015-04-01
"66","2015","04","Linkeroever",1,2015-04-01
"67","2015","04","Oud - Berchem",1,2015-04-01
"68","2015","04","Sint-Andries",18,2015-04-01
"69","2015","04","Stadspark",21,2015-04-01
"70","2015","04","Theaterbuurt-Meir",10,2015-04-01
"71","2015","04","Universiteitsbuurt",12,2015-04-01
"72","2015","04","Zuid",5,2015-04-01
"73","2015","04","Zurenborg",1,2015-04-01
