"","date","Amandus - Atheneum","Borgerhout Extra Muros","Borgerhout Intra Muros Noord","Borgerhout Intra Muros Zuid","Brederode","Centraal Station","Dam","Deurne Dorp - Gallifort","Deurne Noord","Deurne Oost","Deurne Zuid Oost","Deurne Zuid West","Donk","Eilandje","Ekeren Centrum","Groenenhoek","Haringrode","Harmonie","Historisch Centrum","Hoboken - Centrum","Hoboken - Noord","Hoogte","Kiel","Leugenberg","Lillo","Linkeroever","Markgrave","Merksem - Heide","Middelheim","Nieuw - Kwartier Oost","Nieuw - Kwartier West","Nieuw - Zuid","Nieuwdreef","Oosterveld - Elsdonk","Oud - Berchem","Oud - Merksem","Petroleum - Zuid","Polder","Sint-Andries","Stadspark","Stuivenberg","Tentoonstellingswijk","Theaterbuurt-Meir","Tuinwijk","Universiteitsbuurt","Valaar","Wilrijk Centrum","Zuid","Zurenborg"
"1","2015-01-01",16,0,5,2,0,2,0,4,0,0,0,2,0,4,0,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,14,8,0,0,1,0,7,0,0,9,1
"2","2015-02-01",19,0,10,5,0,2,0,4,0,0,0,3,0,7,0,0,4,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,17,4,1,0,8,0,4,0,0,8,0
"3","2015-03-01",24,0,15,6,0,0,0,2,1,0,0,3,0,4,0,0,0,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,21,10,5,0,8,0,7,0,0,7,1
"4","2015-04-01",22,0,24,8,2,0,0,4,1,0,2,4,0,9,0,0,2,2,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18,21,0,0,10,0,12,0,0,5,1
"5","2015-05-01",23,0,19,23,2,4,0,0,0,1,3,5,0,10,0,0,3,0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,22,17,2,0,9,0,10,0,0,12,4
"6","2015-06-01",14,0,17,17,2,0,0,0,0,0,1,2,0,6,0,0,1,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,21,11,6,0,13,0,11,0,0,13,1
"7","2015-07-01",32,0,20,32,6,5,0,3,0,0,2,6,0,7,0,0,0,3,25,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,14,16,3,0,13,0,7,0,0,13,1
"8","2015-08-01",35,0,22,30,0,4,0,5,0,0,3,5,0,15,0,0,1,1,28,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,6,0,0,0,12,14,10,0,14,0,19,0,0,10,3
"9","2015-09-01",36,1,20,37,0,1,0,3,0,0,0,6,0,9,0,0,3,1,41,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,13,12,5,0,16,0,9,0,0,8,1
"10","2015-10-01",42,2,19,35,1,10,0,6,0,0,1,6,0,12,0,3,3,1,53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,16,18,5,0,14,0,18,0,0,15,0
"11","2015-11-01",42,4,14,48,1,11,0,4,1,0,1,12,0,10,0,0,3,3,46,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,17,16,4,0,20,0,12,0,0,15,0
"12","2015-12-01",30,2,9,40,0,5,0,5,0,0,1,5,0,15,0,0,4,5,48,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,7,0,0,0,14,18,4,0,31,0,32,0,0,23,2
"13","2016-01-01",34,2,8,23,2,3,0,3,0,1,1,4,0,13,0,0,1,3,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,17,14,5,0,23,0,38,0,0,25,1
"14","2016-02-01",22,1,9,26,3,11,0,2,0,0,2,8,0,14,0,0,4,1,59,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,8,8,7,0,25,0,43,0,0,18,1
"15","2016-03-01",34,1,10,35,4,10,0,2,0,1,0,12,0,8,0,0,0,1,54,3,0,0,0,0,0,1,4,0,0,0,1,0,0,8,2,0,0,2,12,4,5,0,27,0,39,0,0,18,0
"16","2016-04-01",31,4,10,40,9,15,0,5,0,1,1,3,0,11,0,0,2,0,61,3,0,0,0,0,0,1,6,0,0,0,2,0,0,7,4,0,1,0,17,13,6,0,28,0,53,0,0,21,2
"17","2016-05-01",27,7,21,52,7,19,0,4,0,1,0,4,0,11,0,2,5,2,83,1,0,0,0,0,0,1,6,0,0,2,0,0,0,8,6,2,2,1,24,16,7,0,46,0,70,0,0,33,0
"18","2016-06-01",35,1,13,38,1,11,0,1,2,0,0,2,0,7,0,3,3,3,45,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,1,1,14,10,0,0,42,0,39,0,0,26,1
"19","2016-07-01",36,5,22,30,8,12,0,3,0,0,0,13,0,11,0,3,4,8,67,1,0,0,2,0,0,2,4,0,3,1,1,0,0,3,9,0,2,0,21,17,2,0,40,0,58,0,0,22,0
"20","2016-08-01",50,6,21,33,7,23,0,4,0,1,0,7,0,16,0,1,1,4,66,2,0,0,4,0,0,1,7,0,2,0,0,0,0,2,6,0,0,0,25,20,2,1,33,0,50,0,0,19,0
"21","2016-09-01",54,4,16,35,4,20,0,1,0,0,0,6,0,8,0,0,2,2,55,0,0,0,5,0,0,0,4,0,2,0,0,0,0,0,3,0,2,0,19,13,5,0,36,0,54,0,2,18,0
"22","2016-10-01",80,0,27,40,2,24,0,2,1,0,0,10,0,12,0,0,3,4,77,3,0,0,1,0,0,0,6,0,0,1,0,0,0,1,9,3,1,1,19,22,8,0,63,0,55,0,3,29,0
"23","2016-11-01",64,3,15,44,1,22,0,1,0,0,0,7,0,12,0,1,3,3,63,1,0,0,2,0,0,0,6,0,2,0,0,0,0,5,6,5,2,0,16,11,8,0,41,0,51,0,1,20,0
"24","2016-12-01",57,5,14,33,5,18,0,1,2,0,0,11,0,19,0,0,5,0,82,3,0,0,1,0,0,0,8,1,2,0,0,0,0,4,12,3,1,0,24,15,8,0,44,0,52,0,0,23,3
"25","2017-01-01",56,3,7,30,1,9,0,1,0,0,0,6,0,19,0,1,4,1,88,5,1,0,2,0,0,1,10,0,0,0,0,0,0,2,13,1,3,0,30,9,9,1,38,0,40,0,0,18,4
"26","2017-02-01",65,3,13,33,8,19,0,1,2,0,0,9,0,26,0,0,5,4,89,3,1,0,3,0,0,0,6,0,2,0,0,0,0,1,11,3,0,0,19,19,9,1,33,0,52,0,0,16,0
"27","2017-03-01",79,3,8,31,4,22,0,0,2,0,0,7,0,19,0,4,2,0,89,3,2,0,4,0,0,0,5,0,0,0,0,0,0,3,10,2,1,1,25,13,4,1,40,0,52,2,0,17,1
"28","2017-04-01",97,7,21,48,5,29,0,6,1,1,0,11,0,53,3,7,4,3,126,3,1,0,6,0,0,0,10,0,0,1,0,0,0,2,20,2,1,1,32,37,10,0,76,0,103,1,0,39,5
"29","2017-05-01",94,2,22,29,14,32,0,9,0,1,1,7,0,34,0,5,2,2,112,1,0,0,1,0,0,0,5,0,1,3,0,0,0,0,10,6,1,0,23,17,3,0,62,0,79,1,1,17,1
"30","2017-06-01",78,5,16,30,12,23,0,4,1,1,1,7,0,21,2,5,2,2,94,2,0,0,2,0,0,0,3,0,0,0,0,2,0,0,7,2,0,2,22,20,3,0,54,0,60,0,0,14,2
"31","2017-07-01",76,9,29,40,12,30,0,8,0,1,1,11,0,27,0,15,6,14,127,2,1,0,3,0,0,0,3,0,2,1,0,0,0,4,15,2,0,1,28,36,11,1,52,0,108,1,3,36,2
"32","2017-08-01",67,12,17,26,15,36,0,10,0,1,3,11,0,27,0,13,14,17,123,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,16,2,1,1,32,32,11,1,74,0,81,0,0,19,0
"33","2017-09-01",81,11,12,25,8,39,0,6,0,0,1,3,0,26,0,7,8,14,112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,23,42,10,0,44,0,68,0,1,10,0
"34","2017-10-01",88,8,34,37,9,63,0,7,0,0,2,8,0,31,0,9,10,25,131,3,0,0,1,0,0,1,3,0,5,1,0,3,0,4,17,2,1,0,33,33,22,1,54,0,97,0,0,25,0
"35","2017-11-01",78,5,16,30,7,48,0,5,1,1,2,6,0,31,0,5,10,19,105,3,0,0,3,0,0,0,4,0,4,1,0,1,0,3,14,0,1,0,28,26,18,1,60,1,73,1,1,26,0
"36","2017-12-01",94,13,26,30,15,40,0,3,2,0,4,8,0,28,3,8,11,22,167,1,1,0,1,0,0,0,5,0,6,1,0,0,0,4,14,1,2,1,26,40,28,2,65,7,74,0,1,33,0
"37","2018-01-01",57,10,18,23,7,35,0,4,0,0,1,5,0,24,0,5,13,15,150,4,0,0,1,0,0,0,4,0,3,0,1,2,0,3,10,1,3,0,21,29,22,0,41,1,74,1,1,23,0
